"Code";"Item";"Value"
"20181112-130621";"Tokens";9
"20181112-130621";"Scraps";28
"20181112-140816";"Tokens";11
"20181112-140816";"Scraps";45
"20181112-152642";"Tokens";7
"20181112-152642";"Scraps";21
"20181112-163017";"Tokens";8
"20181112-163017";"Scraps";59
"20181112-173406";"Tokens";9
"20181112-173406";"Scraps";32
"20181112-214051";"Tokens";11
"20181112-214051";"Scraps";33
"20181113-000801";"Tokens";9
"20181113-000801";"Scraps";47
"20181113-085749";"Tokens";7
"20181113-085749";"Scraps";43
"20181113-100733";"Tokens";6
"20181113-100733";"Scraps";22
"20181113-110956";"Tokens";8
"20181113-110956";"Scraps";54
"20181113-121604";"Tokens";10
"20181113-121604";"Scraps";35
"20181113-135756";"Tokens";8
"20181113-135756";"Scraps";24
"20181113-150237";"Tokens";7
"20181113-150237";"Scraps";54
"20181113-162946";"Tokens";9
"20181113-162946";"Scraps";47
"20181113-173633";"Tokens";7
"20181113-173633";"Scraps";46
"20181113-225307";"Tokens";12
"20181113-225307";"Scraps";21
"20181113-235801";"Tokens";14
"20181113-235801";"Scraps";28
"20181114-010141";"Tokens";6
"20181114-010141";"Scraps";35
"20181114-073027";"Tokens";13
"20181114-073027";"Scraps";21
"20181114-090749";"Tokens";13
"20181114-090749";"Scraps";44
"20181114-100858";"Tokens";7
"20181114-100858";"Scraps";38
"20181114-111245";"Tokens";13
"20181114-111245";"Scraps";24
"20181114-121527";"Tokens";11
"20181114-121527";"Scraps";36
"20181114-131741";"Tokens";12
"20181114-131741";"Scraps";31
"20181114-151226";"Tokens";8
"20181114-151226";"Scraps";46
"20181114-161623";"Tokens";6
"20181114-161623";"Scraps";40
"20181114-172232";"Tokens";8
"20181114-172232";"Scraps";26
"20181114-183448";"Tokens";13
"20181114-183448";"Scraps";39
"20181114-204444";"Tokens";11
"20181114-204444";"Scraps";56
"20181114-214948";"Tokens";7
"20181114-214948";"Scraps";22
"20181114-233520";"Tokens";14
"20181114-233520";"Scraps";53
"20181115-003601";"Tokens";7
"20181115-003601";"Scraps";51
"20181115-085834";"Tokens";14
"20181115-085834";"Scraps";50
"20181115-102010";"Tokens";12
"20181115-102010";"Scraps";48
"20181115-112113";"Tokens";8
"20181115-112113";"Scraps";40
"20181115-122522";"Tokens";12
"20181115-122522";"Scraps";20
"20181115-141112";"Tokens";10
"20181115-141112";"Scraps";55
"20181115-151512";"Tokens";7
"20181115-151512";"Scraps";48
"20181115-162327";"Tokens";9
"20181115-162327";"Scraps";49
"20181115-175114";"Tokens";6
"20181115-175114";"Scraps";38
"20181115-185828";"Tokens";14
"20181115-185828";"Scraps";31
"20181115-200251";"Tokens";6
"20181115-200251";"Scraps";49
"20181115-210617";"Tokens";8
"20181115-210617";"Scraps";29
"20181115-221148";"Tokens";9
"20181115-221148";"Scraps";49
"20181115-231331";"Tokens";13
"20181115-231331";"Scraps";23
"20181116-082836";"Tokens";13
"20181116-082836";"Scraps";38
"20181116-105521";"Tokens";10
"20181116-105521";"Scraps";34
"20181116-120348";"Tokens";8
"20181116-120348";"Scraps";35
"20181116-132302";"Tokens";14
"20181116-132302";"Scraps";53
"20181116-142529";"Tokens";7
"20181116-142529";"Scraps";53
"20181116-161121";"Tokens";9
"20181116-161121";"Scraps";46
"20181116-183003";"Tokens";5
"20181116-183003";"Scraps";31
"20181116-194227";"Tokens";8
"20181116-194227";"Scraps";55
"20181116-222844";"Tokens";10
"20181116-222844";"Scraps";47
"20181116-232943";"Tokens";8
"20181116-232943";"Scraps";36
"20181117-003451";"Tokens";10
"20181117-003451";"Scraps";31
"20181117-084850";"Tokens";10
"20181117-084850";"Scraps";33
"20181117-101548";"Tokens";5
"20181117-101548";"Scraps";22
"20181117-111746";"Tokens";8
"20181117-111746";"Scraps";39
"20181117-124901";"Tokens";7
"20181117-124901";"Scraps";25
"20181117-135617";"Tokens";12
"20181117-135617";"Scraps";33
"20181117-150211";"Tokens";12
"20181117-150211";"Scraps";21
"20181117-160400";"Tokens";8
"20181117-160400";"Scraps";45
"20181117-170555";"Tokens";5
"20181117-170555";"Scraps";48
"20181117-180710";"Tokens";10
"20181117-180710";"Scraps";34
"20181117-192723";"Tokens";8
"20181117-192723";"Scraps";45
"20181117-203729";"Tokens";7
"20181117-203729";"Scraps";46
"20181117-215120";"Tokens";9
"20181117-215120";"Scraps";57
"20181117-233517";"Tokens";5
"20181117-233517";"Scraps";56
"20181118-095257";"Tokens";5
"20181118-095257";"Scraps";32
"20181118-105800";"Tokens";5
"20181118-105800";"Scraps";29
"20181118-122309";"Tokens";5
"20181118-122309";"Scraps";44
"20181118-132706";"Tokens";7
"20181118-132706";"Scraps";24
"20181118-144303";"Tokens";5
"20181118-144303";"Scraps";38
"20181118-155517";"Tokens";10
"20181118-155517";"Scraps";53
"20181118-165959";"Tokens";13
"20181118-165959";"Scraps";56
"20181118-180322";"Tokens";5
"20181118-180322";"Scraps";25
"20181118-221458";"Tokens";11
"20181118-221458";"Scraps";30
"20181118-232535";"Tokens";11
"20181118-232535";"Scraps";43
"20181119-003637";"Tokens";10
"20181119-003637";"Scraps";26
